region,zone,woreda,school_name,admin_code,geometry,lat,lon
Oromia,Baalee,Dalloo Mannaa,Bargee,S0403070122,POINT (39.97409 6.350942),6.350942,39.97409
Oromia,Baalee,Dalloo Mannaa,Bariisaa,S0403070312,POINT (39.95324 6.451853),6.451853,39.95324
Oromia,Baalee,Dalloo Mannaa,Mulqaa,S0403070372,POINT (39.82852000000001 6.43481),6.43481,39.82852
Oromia,Baalee,Dalloo Mannaa,Waabaroo,S0403070522,POINT (39.81508 6.422014),6.422014,39.81508
Oromia,Baalee,Dalloo Mannaa,Maanyaatee,S0403070042,POINT (39.744335 6.488487999999998),6.488488,39.744335
Oromia,Baalee,Dalloo Mannaa,Caffaa,S0403070072,POINT (39.888813 6.463065),6.463065,39.888813
Oromia,Baalee,Dalloo Mannaa,Ejersa Qeeddoo,S0403070212,POINT (39.88568 6.435285),6.435285,39.88568
Oromia,Baalee,Dalloo Mannaa,Burqaa,S0403070272,POINT (40.191635 6.540868),6.540868,40.191635
Oromia,Baalee,Dalloo Mannaa,Yaaboo,S0403070292,POINT (39.794155 6.3403335),6.3403335,39.794155
Oromia,Baalee,Dalloo Mannaa,Odaa  Waashaa,S0403070392,POINT (40.011513 6.517538),6.517538,40.011513
Oromia,Baalee,Dalloo Mannaa,Baddeeyyii,S0403070432,POINT (39.827118 6.359148),6.359148,39.827118
Oromia,Baalee,Dalloo Mannaa,Birbiree,S0403070532,POINT (39.85651 6.4286947),6.4286947,39.85651
Oromia,Baalee,Dalloo Mannaa,Caaroo,S0403070052,POINT (39.977516 6.578206),6.578206,39.977516
Oromia,Baalee,Dalloo Mannaa,Cillaanqoo,S0403070152,POINT (39.969147 6.565632000000001),6.565632,39.969147
Oromia,Baalee,Dalloo Mannaa,Boojii,S0403070402,POINT (40.023506 6.571864),6.571864,40.023506
Oromia,Baalee,Dalloo Mannaa,Hancabbii,S0403070412,POINT (40.00604600000001 6.488054),6.488054,40.006046
Oromia,Baalee,Dalloo Mannaa,Masloo,S0403070482,POINT (39.84644 6.441973),6.441973,39.84644
Oromia,Baalee,Dalloo Mannaa,Irbaa,S0403070502,POINT (39.86772 6.454375700000001),6.4543757,39.86772
Oromia,Baalee,Dalloo Mannaa,Malkaa Bonayyaa,S0403070232,POINT (39.987648 6.402642299999999),6.4026423,39.987648
Oromia,Baalee,Dalloo Mannaa,Naaniga Dheeraa lakk 2,S0403070452,POINT (39.896088 6.330732299999998),6.3307323,39.896088
Oromia,Baalee,Dalloo Mannaa,Yaadot,S0403070472,POINT (39.84619 6.4176035),6.4176035,39.84619
Oromia,Baalee,Dalloo Mannaa,Sadarkaa 2ffaa Dayyuu,S0403070543,POINT (39.965645 6.484946),6.484946,39.965645
Oromia,Baalee,Dalloo Mannaa,QOPHAAI'NNAA,S0403070573,POINT (39.851795 6.41972),6.41972,39.851795
Oromia,Baalee,Dalloo Mannaa,Sadarkaa  2ffaa Mannaa,S0403070553,POINT (39.851807 6.419132),6.419132,39.851807
Oromia,Baalee,Barbaree,Qolaatii,S0403040102,POINT (40.0926 6.835830000000001),6.83583,40.0926
Oromia,Baalee,Barbaree,Gooroo Burcoo,S0403040132,POINT (40.08709 6.803511),6.803511,40.08709
Oromia,Baalee,Barbaree,Waltaii  Darasaa,S0403040302,POINT (40.123207 6.691534),6.691534,40.123207
Oromia,Baalee,Barbaree,Walta'ii Koonnoo,S0403040332,POINT (40.05959 6.696739999999999),6.69674,40.05959
Oromia,Baalee,Barbaree,Gaambeelloo,S0403040152,POINT (40.185154 6.7671733),6.7671733,40.185154
Oromia,Baalee,Barbaree,Leedii Horaa,S0403040202,POINT (40.2663 6.7810698),6.7810698,40.2663
Oromia,Baalee,Barbaree,Meexxii,S0403040212,POINT (40.091175 6.65212),6.65212,40.091175
Oromia,Baalee,Barbaree,Gabee Qeequu,S0403040232,POINT (40.132305 6.781247),6.781247,40.132305
Oromia,Baalee,Barbaree,Galma,S0403040322,POINT (40.285194 6.771866999999999),6.771867,40.285194
Oromia,Baalee,Barbaree,Baha Biiftuu,S0403040452,POINT (40.173325 6.7455754),6.7455754,40.173325
Oromia,Baalee,Barbaree,Haroo Dumal Sadarkaa 1ffaa,S0403040272,POINT (40.168407 6.754578),6.754578,40.168407
Oromia,Baalee,Barbaree,Ceekataa,S0403040342,POINT (40.29059 6.82347),6.82347,40.29059
Oromia,Baalee,Barbaree,Wagillaa Arboo,S0403040282,POINT (40.03301 6.639716),6.639716,40.03301
Oromia,Baalee,Barbaree,Shani Qondaalaa,S0403040092,POINT (40.083805 6.675812),6.675812,40.083805
Oromia,Baalee,Barbaree,Dibbee,S0403040142,POINT (40.294647 6.7492003),6.7492003,40.294647
Oromia,Baalee,Barbaree,Amballaa,S0403040422,POINT (40.066803 6.615829),6.615829,40.066803
Oromia,Baalee,Barbaree,Bishaan qalloo,S0403040082,POINT (40.152416 6.729814),6.729814,40.152416
Oromia,Baalee,Barbaree,Goraa Baantuu,S0403040192,POINT (40.23844 6.823236),6.823236,40.23844
Oromia,Baalee,Barbaree,Goraa Hiddoo,S0403040292,POINT (40.22796 6.7715535),6.7715535,40.22796
Oromia,Baalee,Barbaree,Barbaree Harawaa,S0403040372,POINT (40.07763 6.8252864),6.8252864,40.07763
Oromia,Baalee,Barbaree,Walta`ii  Burqituu,S0403040382,POINT (40.06628 6.77871),6.77871,40.06628
Oromia,Baalee,Barbaree,Homoxee,S0403040402,POINT (40.28019000000001 6.641363),6.641363,40.28019
Oromia,Baalee,Barbaree,Gaadullaa,S0403040432,POINT (40.339615 6.779245),6.779245,40.339615
Oromia,Baalee,Barbaree,Caffaa,S0403040442,POINT (40.077316 6.745290299999999),6.7452903,40.077316
Oromia,Baalee,Barbaree,Boolloo,S0403040032,POINT (40.156784 6.5885224),6.5885224,40.156784
Oromia,Baalee,Barbaree,Quudhuu,S0403040052,POINT (40.167763 6.680703),6.680703,40.167763
Oromia,Baalee,Barbaree,Quyya,S0403040062,POINT (40.167763 6.680703),6.680703,40.167763
Oromia,Baalee,Barbaree,Gooroo Boobiyyaa,S0403040112,POINT (40.129135 6.736136),6.736136,40.129135
Oromia,Baalee,Barbaree,Balee Xabalaa,S0403040072,POINT (40.167763 6.680703),6.680703,40.167763
Oromia,Baalee,Barbaree,Eel- Dhoqqee,S0403040262,POINT (40.210644 6.6721573),6.6721573,40.210644
Oromia,Baalee,Barbaree,Walta'ii Barbaree,S0403040312,POINT (40.079506 6.8439155),6.8439155,40.079506
Oromia,Baalee,Barbaree,Goraa Baadamaanaa,S0403040352,POINT (40.24495 6.841028),6.841028,40.24495
Oromia,Baalee,Barbaree,Kolbaa,S0403040412,POINT (40.25371 6.81947),6.81947,40.25371
Oromia,Baalee,Barbaree,Gooroo Diloo,S0403040172,POINT (40.03087 6.677369000000001),6.677369,40.03087
Oromia,Baalee,Barbaree,Awaash Qolaatii,S0403040242,POINT (40.093647 6.85784),6.85784,40.093647
