,index,random_starting_point,algorithm,ee,eei,proposed_locations,time,sigma
47,27,27,CMA,165916.0,3218.0,"[[ 8.44845545 34.98394041]
 [ 7.17536648 37.95381715]
 [ 6.59164076 38.76352581]
 [ 6.94480927 35.82579729]
 [ 6.39788431 39.07618804]]",238.64725971221924,2.25
48,2,2,CMA,165912.0,3214.0,"[[ 6.89382721 37.6049071 ]
 [ 6.99616542 37.64305978]
 [ 7.02086642 37.84640796]
 [ 7.13372856 38.90653522]
 [ 7.14658176 37.64465916]]",138.5354504585266,2.0
49,17,17,CMA,165890.0,3192.0,"[[ 8.05359828 37.94954794]
 [ 8.27883796 35.65617802]
 [ 6.25314159 39.0148884 ]
 [ 6.17174418 38.18720953]
 [ 6.53775941 38.72352746]]",55.71294569969177,1.75
50,43,43,CMA,165888.0,3190.0,"[[ 7.67201249 37.09367736]
 [ 6.22003748 38.99919747]
 [ 6.99601251 37.64359442]
 [ 7.40578199 38.04676587]
 [ 6.81778536 38.38267594]]",198.05915522575378,2.25
51,0,0,CMA,165849.0,3151.0,"[[ 4.63406503 38.61140653]
 [ 6.59164207 38.76356649]
 [ 6.87115515 35.45587238]
 [ 7.8132813  34.8531304 ]
 [ 6.53388222 38.70541803]]",39.63088846206665,1.5
52,9,9,CMA,165811.0,3113.0,"[[ 6.32378564 39.05038057]
 [ 4.61815615 37.7209927 ]
 [ 6.88517563 38.32548411]
 [ 6.66544334 38.55838302]
 [ 6.59164512 38.76353121]]",109.45846247673035,1.75
53,46,46,CMA,165778.0,3080.0,"[[ 4.44805119 35.26722709]
 [ 6.46832882 38.80924472]
 [ 6.59162466 38.76360037]
 [ 5.675156   34.88786978]
 [ 6.89390498 37.60517778]]",370.95895743370056,3.0
54,11,11,CMA,165716.0,3018.0,"[[ 6.56451461 38.32690846]
 [ 6.38274325 38.8744908 ]
 [ 8.32779125 37.56861816]
 [ 6.468324   38.80896042]
 [ 5.24316263 38.39268315]]",245.23959040641785,2.25
55,34,34,CMA,165689.0,2991.0,"[[ 6.99623472 37.64281996]
 [ 8.40977192 34.86476057]
 [ 7.67691759 35.27655775]
 [ 7.64207411 37.9751087 ]
 [ 6.59163641 38.76353382]]",114.42744660377502,2.0
56,72,72,CMA,165670.0,2972.0,"[[ 5.52973531 35.04552133]
 [ 6.62070314 38.74788574]
 [ 6.55714375 38.75967582]
 [ 5.60921847 35.89188489]
 [ 6.81736287 38.38305564]]",48.49975514411926,1.5
57,40,40,CMA,165616.0,2918.0,"[[ 7.60400364 34.97713369]
 [ 8.32500485 37.56777146]
 [ 7.39869102 36.32484151]
 [ 6.91416694 37.8742646 ]
 [ 6.59167464 38.76336521]]",30.55771565437317,1.5
58,12,12,CMA,165608.0,2910.0,"[[ 4.88134104 35.80620482]
 [ 6.59163083 38.76350426]
 [ 7.42383587 34.85678932]
 [ 6.49679272 39.05290485]
 [ 6.99581092 37.64333135]]",283.899667263031,2.5
59,8,8,CMA,165605.0,2907.0,"[[ 8.32524    37.56779403]
 [ 7.07326031 38.36467758]
 [ 4.79620642 37.12733974]
 [ 6.59162785 38.76352515]
 [ 7.67051715 37.64434351]]",52.4003050327301,1.5
60,60,60,CMA,165572.0,2874.0,"[[ 8.42210028 37.00955092]
 [ 4.43415472 35.1801443 ]
 [ 6.55699944 38.75987388]
 [ 6.6288658  38.73885556]
 [ 6.89376624 37.60497621]]",217.5955104827881,2.5
61,28,28,CMA,165554.0,2856.0,"[[ 6.59162813 38.76370195]
 [ 8.21703455 38.96366032]
 [ 6.47517349 38.42293404]
 [ 8.20710689 36.44051664]
 [ 6.99603663 37.64304867]]",291.3362891674042,2.5
62,25,25,CMA,165523.0,2825.0,"[[ 6.529423   38.70612155]
 [ 7.41062744 38.18848772]
 [ 7.39416313 36.22761175]
 [ 4.43713044 38.47449829]
 [ 6.46590542 38.84839993]]",131.31515908241272,1.75
63,18,18,CMA,165475.0,2777.0,"[[ 6.55675109 38.7591989 ]
 [ 8.44351684 35.17605744]
 [ 7.64438449 34.85401752]
 [ 6.47526712 38.42244531]
 [ 6.62061206 38.74777202]]",83.93325877189636,2.0
64,68,68,CMA,165475.0,2777.0,"[[ 6.59162667 38.76352462]
 [ 6.99616164 37.64345723]
 [ 8.30250986 36.21559885]
 [ 7.23340319 35.06997757]
 [ 8.32559374 37.56789483]]",206.05733609199524,2.5
65,47,47,CMA,165450.0,2752.0,"[[ 6.5568173  38.75929005]
 [ 6.62039306 38.74772169]
 [ 4.54308147 38.10738161]
 [ 4.46076693 36.30861692]
 [ 6.53983141 38.86821999]]",411.1650412082672,3.25
66,10,10,CMA,165399.0,2701.0,"[[ 6.79252647 36.43470811]
 [ 7.1480964  37.64454831]
 [ 7.92482022 35.14539112]
 [ 6.53984825 38.86820125]
 [ 6.5916246  38.76370193]]",169.4728775024414,2.0
67,32,32,CMA,165338.0,2640.0,"[[ 6.97299605 35.57103907]
 [ 5.71793444 35.63892381]
 [ 7.80244372 37.73629001]
 [ 7.07184446 35.93326526]
 [ 7.50314838 37.97579648]]",38.846522092819214,1.5
68,14,14,CMA,165295.0,2597.0,"[[ 7.32827569 34.87731748]
 [ 6.99635714 37.64271284]
 [ 6.25279697 38.94891621]
 [ 7.68842772 35.01488297]
 [ 6.88270934 38.32758662]]",387.793790102005,3.0
69,50,50,CMA,165292.0,2594.0,"[[ 6.51576267 34.85795708]
 [ 6.97547653 35.5458742 ]
 [ 6.58940009 35.36578668]
 [ 6.5914342  38.76526944]
 [ 7.37775034 37.83423438]]",125.76068997383118,2.0
70,67,67,CMA,165281.0,2583.0,"[[ 6.00742436 36.52210177]
 [ 7.54506993 38.07383884]
 [ 6.63834483 38.73038877]
 [ 5.8829216  37.18701425]
 [ 6.59160513 38.76381939]]",164.53178191184998,2.25
71,44,44,CMA,165268.0,2570.0,"[[ 5.79212594 36.56414714]
 [ 7.47256503 35.20417948]
 [ 6.5948931  38.76100276]
 [ 4.49476223 37.6702686 ]
 [ 7.71520758 37.77215936]]",253.7164249420166,2.5
72,30,30,CMA,165118.0,2420.0,"[[ 5.33573651 39.08896341]
 [ 6.14672293 38.20613462]
 [ 7.30029078 38.65543541]
 [ 7.08371823 37.93247617]
 [ 5.75263396 35.78969713]]",396.11675119400024,3.0
73,37,37,CMA,164969.0,2271.0,"[[ 7.0208197  37.84646018]
 [ 7.08123618 37.77356368]
 [ 6.99588567 37.64332872]
 [ 4.48908892 38.98103248]
 [ 7.94467062 39.03708058]]",288.501829624176,2.75
74,55,55,CMA,164829.0,2131.0,"[[ 6.2286321  35.105411  ]
 [ 7.43556922 37.62732651]
 [ 4.4450435  38.20967687]
 [ 8.32596115 39.13096341]
 [ 6.50364789 38.8086434 ]]",344.1161334514618,3.25
75,66,66,CMA,164816.0,2118.0,"[[ 8.45525196 38.12446889]
 [ 8.43957718 38.60140809]
 [ 6.14517764 38.1922787 ]
 [ 7.11917654 38.97407938]
 [ 5.57736213 39.12890092]]",128.14801859855652,2.0
76,22,22,CMA,164787.0,2089.0,"[[ 5.27335945 34.97173682]
 [ 8.34043437 37.21073312]
 [ 7.36186746 38.12904341]
 [ 5.67088448 35.83814386]
 [ 6.14824203 38.2040013 ]]",335.18536591529846,3.0
77,71,71,CMA,164778.0,2080.0,"[[ 6.9436863  37.61441507]
 [ 5.3782048  34.87513835]
 [ 6.14811272 38.18869086]
 [ 5.07793259 37.76901537]
 [ 6.3358515  34.85704622]]",344.4819531440735,3.25
78,57,57,CMA,164772.0,2074.0,"[[ 6.5916279  38.7635124 ]
 [ 8.45652711 34.90976055]
 [ 6.38282705 38.87434666]
 [ 8.44729323 34.87234157]
 [ 5.09422254 38.83738704]]",84.41576099395752,1.75
79,35,35,CMA,164665.0,1967.0,"[[ 7.75969889 39.12606555]
 [ 6.15535444 38.20190235]
 [ 6.56149687 37.82247072]
 [ 7.48975946 34.85598814]
 [ 5.22535654 39.06851079]]",167.05999946594238,2.25
